FundID,MemberID,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
9-1,9,9/28/2018,151.0740094287684608,151.7916386666246113,185.9219155102631854,180.4072730185105800,39.2395444647000000,16.4850245305000000,155.7022521136412839,135.5637593767966130,138.0156525104911447
19-1,19,9/28/2018,78.9599999999993787,90.0514417369000000,61.8115782976000000,88.9300763487000000,63.3274372569000000,16.4996095472000000,83.3599610782000000,83.7178330876000000,80.1303652113000000
20-2,20,9/28/2018,99.0929047885909457,82.2420691697000000,62.8716988127000000,58.1759151700000000,43.0578890738000000,12.1918757147000000,99.3106684674160785,93.7461962909000000,84.7387894288000000
21-1,21,9/28/2018,102.4531246920305263,92.1992272489000000,76.3688406181000000,65.0985990000000000,28.5319270893000000,12.4816670089000000,106.3227174318400971,102.1082163910000000,112.3194849090000000
22-6,22,9/28/2018,41.6628428213000000,45.3220823447000000,35.9721214346000000,32.7894021281000000,27.5519904748000000,,43.9363615471000000,43.1124019263000000,48.6691382047000000
24-1,24,9/28/2018,100.9246326577305846,78.5883105365000000,51.4506603244000000,37.2005892400000000,18.6712923730000000,9.6509768271900000,97.0877878143433263,87.2048037989000000,81.6670675938000000
40-1,40,9/28/2018,22.1098974763670587,21.7193856519000000,15.9937746682000000,18.7962009475000000,30.6055508311000000,15.8356398892000000,21.8934164185075903,21.5470233975000000,23.2381373618000000
40-3,40,9/28/2018,18.2638440464302602,17.9415649125000000,13.4792271963000000,24.3933745237000000,43.5278567033000000,13.3341252538000000,17.8721829980378741,18.4955623711000000,19.4235552409000000
40-5,40,9/28/2018,8.9722919834603996,9.4169489033600000,7.3996358712800000,11.1752417710000000,25.5406149429000000,,8.7548604380232689,9.0321760203300000,10.1111599481000000
61-1,61,9/28/2018,117.7134304425170364,112.4148856290000000,82.5273537125000000,79.4884449056000000,41.5994596483000000,10.8470900923000000,121.1266487225137627,123.4406644890000000,120.6766119870000000
112-6,112,9/28/2018,16.7500000000001214,16.9179349989000000,,17.6084582929000000,20.1546367508000000,13.5686086743000000,16.7624505499000000,16.7909483407000000,16.8744209822000000
233-2,233,9/28/2018,49.1738169036086330,42.2687501461000000,30.1831043476000000,28.3440496899000000,16.6703899380000000,11.5143176710000000,48.0641206645000000,45.5002732826000000,45.9086527020000000
246-2,246,9/28/2018,33.5102088500915868,27.1652517285000000,26.3120915068000000,23.7241606044000000,12.8053796132000000,10.0395020834000000,33.9989134767284476,31.6601850068000000,29.8743314968000000
324-1,324,9/28/2018,47.7531639199619488,39.4758897474000000,27.2688657948000000,22.5425987235000000,11.5414310977000000,7.5723055079300000,47.5997260524536852,43.8675928313000000,42.4000683623000000
423-2,423,9/28/2018,191.7227547068877201,151.7528327770000000,85.2017946239000000,80.2286312512000000,17.1090371179000000,7.4044446049300000,192.9526438620440349,182.2131953850000000,157.3270228220000000
471-1,471,9/28/2018,70.2962161122884928,49.0927493403000000,36.9418444438000000,40.8545213051000000,23.0717902186000000,10.3406416067000000,72.5855072915923609,64.9113635819000000,52.6883044837000000
686-1,686,9/28/2018,34.1173798326637741,25.3467825334000000,27.9184035266000000,24.9047147648000000,28.4218107787000000,16.2791068575000000,33.5165408035996383,30.9573288000000000,29.2329113224000000
804-3,804,9/28/2018,2.7967289822651677,,,,,,2.8146554489770176,10.6584217622000000,
1197-1,1197,9/28/2018,48.2563968766000000,37.9013116898000000,27.8098822023000000,21.2835019891000000,10.2252126555000000,,48.9490342989000000,47.3878620258000000,41.2879052970000000
1315-7,1315,9/28/2018,12.5097207469081684,16.8230214295000000,10.8230175069000000,11.0828106409000000,,,13.2803588763000000,16.0589683204000000,16.4224044566000000
1434-8,1434,9/28/2018,16.1855131527574100,16.4778336409000000,13.6838727432000000,10.9925732563000000,,,16.2028226647000000,15.1016879733000000,16.4482244566000000
2128-1,2128,9/28/2018,26.0400000000009988,28.7808297951000000,26.7862839960000000,19.1263634758000000,,,26.1992389726000000,28.3396087700000000,27.9675422220000000
2246-3,2246,9/28/2018,26.2362117997759902,23.3178052602000000,18.9013301099000000,11.6662662649000000,,,26.0719321929000000,24.6091236385000000,24.4101980670000000
2515-1,2515,9/28/2018,17.6642858785128883,17.2311194808000000,14.5258649772000000,12.8062774505000000,,,18.1594571204044857,17.3161922011000000,17.7707052398000000
2751-1,2751,9/28/2018,15.6593701296561848,13.3784703222000000,11.4814603788000000,10.1207072783000000,,,15.6992799281217821,14.9240745133000000,13.9009653957000000
4097-1,4097,9/28/2018,137.1515855277315424,121.3731213140000000,97.4123564279000000,71.5253768267000000,31.2639752039000000,15.5511089410000000,129.2236331217045496,128.3842275490000000,123.6802347590000000
6042-3,6042,9/28/2018,46.2500000000017398,51.0543354091000000,40.9093536317000000,25.5812845384000000,,,48.2535696134000000,46.2392863331000000,47.5865583533000000
6042-6,6042,9/28/2018,32.1999999999984343,27.3522511315000000,16.6750487438000000,13.2950388621000000,,,31.5884328262000000,29.0645432885000000,28.1531609470000000
7674-2,7674,9/28/2018,19.1400415598485980,18.8691000810000000,21.2931120025000000,20.2462212466000000,7.8510758978400000,,19.1443772002000000,19.0801424033000000,19.0902983858000000
7824-2,7824,9/28/2018,71.7610533663198184,58.3624615593000000,39.4279151091000000,37.2515483085000000,25.4743981949000000,11.6462837059000000,70.7781216263878273,65.8127076472000000,62.2245939656000000
8095-1,8095,9/28/2018,40.2201166145543288,32.2094581915000000,23.5863344713000000,19.7415222201000000,8.1384862896800000,,39.6574370262187035,36.2929805828000000,34.0541307686000000
