,apmitchell,crossy,dwieman,dwoloch,eugeneg,gcheng,glenbo_nj,gordenlam,gordenlam,huyehara,ivankollar,jbrumley71,johnarcher,kharden,kharden,mkoza,mrivers,npile,orangey17,rexjacobsen,rgarga,rmeyers,sackingswin,stevekus,todd_hagopian,,treauxjan,whimelsein,,,,,,,,791branko,athompson,dcanaan,guyvega,the_barnacle,vanmeerten,todd_hagopian,rrurban,adevkota,ahknaten,jnavin,crees,dwoloch,ist.martin,jerrypettit,moonrunreport1,timbo56,loosegun
,APMIF,CIAF,DWVMF,DXF,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,KMF,TGF,RCAP,NMF,OMF,RMF,RMF,BSMF,NBNN,aval,HIBEV,Top Mutual Funds,LDGF,LFF,,,S&P 500,,,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10STX,DMF,ORR,PEF,MIDIX,SSOF1,BPMF
4242900.00000%,0.86401%,-1.98507%,3.39074%,,-0.48847%,,,,,2.50503%,1.35032%,,-1.06444%,,,-2.72997%,,0.31319%,,,-3.79388%,0.17040%,-0.98890%,,,,,-1.89400%,,,,4242900.00000%,,,4242900.00000%,-6.98026%,2.80432%,1.16564%,,5.18450%,#REF!,,,,-1.72843%,,,,2.08149%,0.76841%,,0.07609%,4.86914%
4246000.00000%,10.30051%,7.79293%,2.88974%,,4.74296%,,,,,10.08449%,7.74335%,,3.95494%,,,16.85843%,,8.94904%,,,5.03297%,9.43331%,5.58309%,,,,,5.68520%,,,,4246000.00000%,,,4246000.00000%,9.80442%,3.48404%,4.98794%,,4.75918%,#REF!,,,,4.45781%,,,,4.19151%,3.96526%,,11.80433%,3.77564%
4249000.00000%,0.45077%,3.89759%,-0.84781%,,-2.49750%,,,,,0.44733%,-1.00162%,-8.99360%,0.90668%,,,11.03558%,,-3.71184%,,0.82488%,-0.06572%,-3.45742%,3.90255%,,-0.06033%,,,0.94358%,,,,4249000.00000%,,,4249000.00000%,5.32627%,2.59527%,-3.23553%,,-0.44676%,#REF!,,,,-0.41095%,,,,4.39781%,-0.63789%,,3.12811%,21.60126%
4252100.00000%,0.64595%,0.60924%,-1.83731%,,2.71127%,,,-0.40733%,,5.83098%,1.47728%,-3.05057%,0.15616%,,,1.42792%,,0.65388%,,2.89976%,2.96647%,0.47379%,3.24686%,,3.55239%,,,6.48638%,,,,4252100.00000%,,,4252100.00000%,-4.56632%,-0.41798%,-1.24701%,4.89235%,-0.56726%,#REF!,0.71903%,,,0.36772%,,,,1.01712%,0.81663%,,0.07885%,-11.91484%
4255100.00000%,0.30679%,-0.43595%,-2.36905%,,-1.71582%,,,-1.15954%,,-3.43041%,0.54864%,-2.02427%,-0.47194%,,,-4.03652%,,2.01675%,,3.18136%,-0.74743%,2.06056%,0.76594%,,-9.03430%,,,2.99106%,,,,4255100.00000%,,,4255100.00000%,-9.50719%,4.05324%,-0.64949%,5.93460%,0.60301%,#REF!,1.40912%,,,-2.67025%,,,,-0.47044%,-0.57998%,,1.85291%,20.76129%
4258200.00000%,10.81033%,10.47727%,0.18047%,,4.66131%,,6.69877%,5.04160%,6.63901%,8.68154%,-3.66349%,7.85186%,3.41978%,,,8.79926%,,3.21140%,,2.54776%,2.38387%,4.86451%,5.63869%,,9.25442%,,,4.85971%,,,3.56000%,4258200.00000%,,,4258200.00000%,-3.34606%,4.92572%,2.69433%,1.63738%,6.20901%,#REF!,4.18400%,,,6.63560%,,,,7.06056%,5.64999%,,0.96080%,8.22348%
4261300.00000%,6.32507%,5.91477%,-2.86564%,,1.55303%,,2.02187%,-2.01503%,3.95933%,0.85158%,-1.70904%,0.73525%,-1.54313%,,,2.66679%,,-1.55272%,,-0.62155%,-0.85355%,-2.00684%,0.62751%,,-4.30696%,,,0.73944%,,,-0.12000%,4261300.00000%,,,4261300.00000%,-3.11122%,-1.21120%,-0.01941%,-5.00931%,-0.56769%,-2.11110%,0.56372%,,,1.80741%,,,,-2.82379%,0.16152%,,-0.58246%,-14.29910%
4264300.00000%,2.78610%,-1.05281%,-1.94719%,,-0.14666%,,6.55393%,0.72129%,2.25927%,-3.19575%,-1.30434%,-4.37155%,-0.34745%,,,5.57455%,,2.04115%,,-0.29432%,-1.57898%,1.69401%,0.97924%,,7.42230%,,,2.82875%,,,-0.12000%,4264300.00000%,,,4264300.00000%,8.03260%,-0.26894%,0.05444%,-0.65716%,-1.95767%,-1.09926%,0.96510%,,,2.05547%,,,,-0.81101%,1.98457%,,1.10767%,4.21647%
4267400.00000%,-3.21530%,-10.11509%,-2.09517%,,0.67748%,,-1.90997%,-1.02267%,-0.92416%,-13.29195%,-2.59640%,-0.12894%,-2.64284%,,,-2.63434%,,-4.86960%,,-1.55123%,-3.14509%,-0.67221%,-2.91326%,,-14.77966%,,,-4.51692%,,,-1.94000%,4267400.00000%,,,4267400.00000%,-21.83028%,-3.05432%,-0.08776%,0.05719%,-3.38181%,-1.80013%,-2.79859%,,,-2.59588%,,,,-8.45652%,-5.15622%,,-2.82767%,-9.66456%
4270400.00000%,5.26175%,8.53499%,2.98175%,,1.10414%,,1.18780%,-2.19743%,0.59389%,4.56965%,2.93340%,9.48143%,-0.79081%,,,5.53617%,,4.53865%,,-2.25145%,7.13097%,1.16402%,4.06630%,,5.34000%,,,-2.91269%,,,3.42000%,4270400.00000%,,,4270400.00000%,6.32169%,7.21750%,2.76636%,-0.81237%,2.56378%,3.22444%,10.75566%,,,10.82478%,,,,4.05016%,8.24457%,,7.16812%,-7.38701%
4273500.00000%,1.51482%,3.07360%,0.74148%,,2.01929%,,2.64238%,1.79180%,-0.81043%,-6.62644%,1.58958%,2.97226%,-1.33075%,,,-3.22851%,,5.33122%,,2.29581%,3.94316%,4.82196%,2.73642%,,0.14185%,,,1.33018%,,,1.82000%,4273500.00000%,,,4273500.00000%,-14.07966%,0.72548%,1.15104%,2.97201%,1.18870%,7.80219%,0.74743%,,,4.04089%,,,,1.26236%,3.25767%,,1.97395%,5.50356%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
